hidden_layers,activation,lr,epochs,accuracy
"(512, 512, 512)",relu,0.005,300,0.8705127364521522
"(512, 512, 512)",relu,0.01,300,0.8619152214536275
"(512, 256, 128, 64)",relu,0.01,300,0.8617594990656656
"(200, 150, 100, 50)",relu,0.01,300,0.8582844310395699
"(128, 128, 128, 128)",relu,0.01,300,0.8549241058256565
"(150, 100, 50)",relu,0.01,300,0.8477362882339442
"(128, 128, 128, 128)",relu,0.005,300,0.8427531718191653
"(256, 128, 64)",relu,0.01,300,0.8404173359997378
"(256, 128, 64)",relu,0.005,300,0.8361226764580533
"(200, 150, 100, 50)",relu,0.005,300,0.8350162279120087
"(512, 512, 512)",relu,0.001,300,0.8309100744189096
"(100, 100)",relu,0.01,300,0.8298446054486444
"(512, 256, 128, 64)",relu,0.005,300,0.8297790381273973
"(150, 100, 50)",relu,0.005,300,0.8297626462970855
"(256, 128, 64, 32)",relu,0.01,300,0.8266973740287841
"(300, 200, 100, 50)",relu,0.01,300,0.8252303052158804
"(150,)",relu,0.01,300,0.8238451955545356
"(100, 100)",relu,0.005,300,0.818050683539324
"(100,)",relu,0.1,300,0.8170589778054618
"(100, 50)",relu,0.01,300,0.8165508310657968
"(100, 50)",relu,0.005,300,0.8155837130774022
"(256, 128, 64, 32)",relu,0.005,300,0.8148214929679048
"(100,)",relu,0.01,300,0.8122561715241123
"(150,)",relu,0.5,300,0.8102891518866997
"(50,)",relu,0.1,300,0.8072730551093336
"(150,)",relu,0.005,300,0.8049945906959971
"(300, 200, 100, 50)",relu,0.001,300,0.8049208274595941
"(100,)",relu,0.5,300,0.8027980854342196
"(256, 128, 64)",relu,0.001,300,0.8023227223551782
"(150,)",relu,0.1,300,0.8017244205487984
"(512, 256, 128, 64)",relu,0.001,300,0.8007818903058715
"(300, 200, 100, 50)",relu,0.005,300,0.7997819886568535
"(200, 150, 100, 50)",relu,0.001,300,0.7972412549585287
"(128, 128, 128, 128)",relu,0.001,300,0.7964708389338754
"(100,)",relu,0.005,300,0.7950611415270629
"(50,)",relu,0.01,300,0.7904960167852343
"(150, 100, 50)",relu,0.001,300,0.7891354948693571
"(256, 128, 64, 32)",relu,0.001,300,0.7882585319476773
"(50,)",relu,0.5,300,0.784455627315346
"(100, 100)",relu,0.001,300,0.776022030619939
"(50,)",relu,0.005,300,0.7730878929941317
"(100, 50)",relu,0.001,300,0.7648100186866865
"(100, 100)",relu,0.1,300,0.7602203061993902
"(100, 50)",relu,0.1,300,0.7507786119398092
