hidden_layers,activation,lr,epochs,accuracy
"(512, 256, 128, 64)",relu,0.005,300,0.8860444444444444
"(300, 200, 100, 50)",relu,0.005,300,0.8833777777777778
"(512, 512, 512)",relu,0.005,300,0.8817777777777778
"(256, 128, 64)",relu,0.01,300,0.8816
"(512, 512, 512)",relu,0.001,300,0.8808888888888889
"(300, 200, 100, 50)",relu,0.01,300,0.8806222222222222
"(256, 128, 64, 32)",relu,0.005,300,0.8795555555555555
"(128, 128, 128, 128)",relu,0.01,300,0.8784888888888889
"(150, 100, 50)",relu,0.01,300,0.8779555555555556
"(512, 256, 128, 64)",relu,0.01,300,0.8762666666666666
"(100, 100)",relu,0.01,300,0.8757333333333334
"(128, 128, 128, 128)",relu,0.005,300,0.8754666666666666
"(150, 100, 50)",relu,0.005,300,0.8749333333333333
"(100,)",relu,0.01,300,0.8743111111111111
"(256, 128, 64, 32)",relu,0.01,300,0.8739555555555556
"(100, 100)",relu,0.005,300,0.8721777777777778
"(50,)",relu,0.01,300,0.872
"(200, 150, 100, 50)",relu,0.005,300,0.8719111111111111
"(256, 128, 64)",relu,0.005,300,0.8715555555555555
"(256, 128, 64)",relu,0.001,300,0.8699555555555556
"(100,)",relu,0.005,300,0.8695111111111111
"(100, 100)",relu,0.001,300,0.8688
"(300, 200, 100, 50)",relu,0.001,300,0.8683555555555555
"(100, 50)",relu,0.005,300,0.8676444444444444
"(150,)",relu,0.001,300,0.8676444444444444
"(150, 100, 50)",relu,0.001,300,0.8668444444444444
"(512, 256, 128, 64)",relu,0.001,300,0.8662222222222222
"(50,)",relu,0.005,300,0.8661333333333333
"(200, 150, 100, 50)",relu,0.01,300,0.8648
"(512, 512, 512)",relu,0.01,300,0.8648
"(128, 128, 128, 128)",relu,0.001,300,0.8646222222222222
"(100, 50)",relu,0.001,300,0.8624
"(256, 128, 64, 32)",relu,0.001,300,0.86
"(200, 150, 100, 50)",relu,0.001,300,0.8592888888888889
"(100,)",relu,0.001,300,0.8585777777777778
"(50,)",relu,0.001,300,0.8570666666666666
"(150,)",relu,0.005,300,0.8472888888888889
"(150,)",relu,0.1,300,0.8424888888888888
"(150,)",relu,0.01,300,0.8395555555555556
"(50,)",tanh,0.5,300,0.8393777777777778
"(100,)",tanh,0.5,300,0.8272
"(100, 50)",relu,0.01,300,0.8231111111111111
"(300, 200, 100, 50)",tanh,0.5,300,0.8217777777777778
"(150,)",tanh,0.5,300,0.8214222222222223
"(256, 128, 64)",tanh,0.5,300,0.8201777777777778
"(100, 50)",tanh,0.5,300,0.8183111111111111
"(150,)",tanh,0.1,300,0.8174222222222223
"(512, 256, 128, 64)",tanh,0.5,300,0.8161777777777778
"(150, 100, 50)",tanh,0.5,300,0.8161777777777778
"(100,)",tanh,0.1,300,0.8149333333333333
"(50,)",tanh,0.1,300,0.8128
"(100, 100)",tanh,0.5,300,0.8084444444444444
"(256, 128, 64, 32)",tanh,0.5,300,0.8077333333333333
"(512, 512, 512)",tanh,0.1,300,0.8075555555555556
"(100, 50)",tanh,0.1,300,0.8065777777777777
"(128, 128, 128, 128)",tanh,0.5,300,0.8015111111111111
"(200, 150, 100, 50)",tanh,0.5,300,0.7980444444444444
"(100,)",relu,0.1,300,0.7966222222222222
"(256, 128, 64)",tanh,0.1,300,0.7963555555555556
"(150, 100, 50)",tanh,0.1,300,0.7949333333333334
"(100, 100)",tanh,0.1,300,0.7948444444444445
"(128, 128, 128, 128)",tanh,0.1,300,0.7790222222222222
"(300, 200, 100, 50)",tanh,0.1,300,0.7770666666666667
"(512, 256, 128, 64)",tanh,0.1,300,0.7739555555555555
"(200, 150, 100, 50)",tanh,0.1,300,0.7708444444444444
"(256, 128, 64, 32)",tanh,0.1,300,0.7216
"(100, 50)",relu,0.1,300,0.6974222222222223
"(150,)",tanh,0.01,300,0.6946666666666667
"(128, 128, 128, 128)",relu,0.1,300,0.6941333333333334
"(100,)",tanh,0.01,300,0.6918222222222222
"(50,)",relu,0.1,300,0.6911111111111111
"(50,)",tanh,0.01,300,0.6765333333333333
"(150,)",tanh,0.005,300,0.5888
"(100,)",tanh,0.005,300,0.5866666666666667
"(512, 512, 512)",tanh,0.01,300,0.5783111111111111
"(50,)",tanh,0.005,300,0.5626666666666666
"(100, 100)",tanh,0.01,300,0.5625777777777777
"(100, 50)",tanh,0.01,300,0.5357333333333333
"(150, 100, 50)",tanh,0.01,300,0.4866666666666667
"(100, 50)",tanh,0.005,300,0.4829333333333333
"(100, 100)",tanh,0.005,300,0.4751111111111111
"(512, 512, 512)",tanh,0.005,300,0.4749333333333333
"(150,)",relu,0.5,300,0.4648888888888889
"(256, 128, 64)",tanh,0.01,300,0.4643555555555556
"(300, 200, 100, 50)",tanh,0.01,300,0.46426666666666666
"(512, 256, 128, 64)",tanh,0.01,300,0.4615111111111111
"(128, 128, 128, 128)",tanh,0.01,300,0.45964444444444447
"(256, 128, 64, 32)",tanh,0.01,300,0.4479111111111111
"(200, 150, 100, 50)",tanh,0.01,300,0.4205333333333333
"(100,)",tanh,0.001,300,0.4182222222222222
"(150,)",tanh,0.001,300,0.39555555555555555
"(200, 150, 100, 50)",tanh,0.005,300,0.39413333333333334
"(50,)",tanh,0.001,300,0.38711111111111113
"(100,)",relu,0.5,300,0.3818666666666667
"(150, 100, 50)",tanh,0.005,300,0.3705777777777778
