hidden_layers,activation,lr,epochs,accuracy
"(8,)",relu,0.1,50,0.9777777777777777
"(4,)",relu,0.1,50,0.9555555555555556
"(4,)",relu,0.01,50,0.8666666666666667
"(4,)",relu,0.005,50,0.7111111111111111
"(2,)",tanh,0.5,50,0.6
"(2,)",tanh,0.1,50,0.6
"(2,)",relu,0.1,50,0.6
"(2, 2)",relu,0.1,50,0.6
"(8,)",tanh,0.5,50,0.6
"(8,)",tanh,0.1,50,0.6
"(4,)",tanh,0.1,50,0.6
"(8,)",relu,0.01,50,0.6
"(1, 1)",relu,0.1,50,0.6
"(4,)",tanh,0.5,50,0.6
"(2, 4)",tanh,0.5,50,0.6
"(2, 4)",relu,0.1,50,0.6
"(8,)",relu,0.005,50,0.5777777777777777
"(4,)",relu,0.001,50,0.5333333333333333
"(2, 4)",relu,0.001,50,0.4666666666666667
"(2, 2)",relu,0.01,50,0.4444444444444444
"(2, 4)",tanh,0.001,50,0.4
"(1,)",relu,0.001,50,0.4
"(1,)",tanh,0.001,50,0.4
"(1, 1)",tanh,0.001,50,0.4
"(1,)",tanh,0.005,50,0.4
"(2, 2)",tanh,0.001,50,0.37777777777777777
"(1, 2)",tanh,0.005,50,0.37777777777777777
"(2, 2)",tanh,0.005,50,0.37777777777777777
"(1, 2)",tanh,0.01,50,0.37777777777777777
"(1, 2)",relu,0.005,50,0.37777777777777777
"(1, 2)",relu,0.001,50,0.37777777777777777
"(1, 2)",tanh,0.001,50,0.37777777777777777
"(2, 4)",relu,0.01,50,0.26666666666666666
"(2,)",relu,0.01,50,0.26666666666666666
"(1,)",relu,0.5,50,0.2222222222222222
"(1,)",relu,0.005,50,0.2222222222222222
"(1,)",relu,0.1,50,0.2222222222222222
"(1,)",tanh,0.01,50,0.2222222222222222
"(2, 4)",relu,0.5,50,0.2222222222222222
"(1,)",relu,0.01,50,0.2222222222222222
"(2, 4)",tanh,0.01,50,0.2222222222222222
"(2, 4)",tanh,0.1,50,0.2222222222222222
"(8,)",relu,0.5,50,0.2222222222222222
"(8,)",tanh,0.001,50,0.2222222222222222
"(8,)",tanh,0.005,50,0.2222222222222222
"(8,)",tanh,0.01,50,0.2222222222222222
"(4,)",tanh,0.001,50,0.2222222222222222
"(2, 4)",tanh,0.005,50,0.2222222222222222
"(4,)",tanh,0.005,50,0.2222222222222222
"(4,)",tanh,0.01,50,0.2222222222222222
"(1, 1)",relu,0.001,50,0.2222222222222222
"(8,)",relu,0.001,50,0.2222222222222222
"(1, 1)",relu,0.01,50,0.2222222222222222
"(1, 1)",relu,0.5,50,0.2222222222222222
"(1, 1)",tanh,0.005,50,0.2222222222222222
"(1, 1)",relu,0.005,50,0.2222222222222222
"(2,)",tanh,0.005,50,0.2222222222222222
"(2,)",tanh,0.01,50,0.2222222222222222
"(4,)",relu,0.5,50,0.2222222222222222
"(1, 1)",tanh,0.5,50,0.2222222222222222
"(1, 1)",tanh,0.1,50,0.2222222222222222
"(2, 2)",relu,0.001,50,0.2222222222222222
"(2, 2)",relu,0.005,50,0.2222222222222222
"(1, 1)",tanh,0.01,50,0.2222222222222222
"(2, 2)",relu,0.5,50,0.2222222222222222
"(2, 2)",tanh,0.01,50,0.2222222222222222
"(2, 2)",tanh,0.1,50,0.2222222222222222
"(2, 2)",tanh,0.5,50,0.2222222222222222
"(1, 2)",relu,0.5,50,0.2222222222222222
"(1,)",tanh,0.5,50,0.2222222222222222
"(1,)",tanh,0.1,50,0.2222222222222222
"(1, 2)",relu,0.01,50,0.2222222222222222
"(2,)",relu,0.001,50,0.2222222222222222
"(2,)",relu,0.005,50,0.2222222222222222
"(2,)",relu,0.5,50,0.2222222222222222
"(2,)",tanh,0.001,50,0.2222222222222222
"(1, 2)",relu,0.1,50,0.2222222222222222
"(1, 2)",tanh,0.5,50,0.2222222222222222
"(1, 2)",tanh,0.1,50,0.2222222222222222
"(2, 4)",relu,0.005,50,0.2222222222222222
